manufacturer,name,hex,lineId,pigmentSlugs,lightfastRatingId,transparencyRatingId,stainingRatingId,granulationRatingId,manufacturerDescription,url
Da Vinci,Chromium Oxide Green,#4F7337,,PG17,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-chromium-oxide-green-37-ml-tube/
Da Vinci,Cobalt Blue,#193DA9,,PB28,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-blue-15-ml-tube/
Da Vinci,Cobalt Blue Deep,#0049C9,,PB28,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-blue-deep-15-ml-tube/
Da Vinci,Cobalt Green Hue,#006A56,,PB27|PG7,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-green-hue-15-ml-tube/
Da Vinci,Cobalt Turquoise,#009A9F,,PB36,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-turquoise-37-ml-tube/
Da Vinci,Cobalt Violet,#9141AB,,PV14,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-violet-37-ml-tube/
Da Vinci,Cobalt Turquoise Deep,#007D94,,PB36|PB36,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-turquoise-deep-15-ml-tube/
Da Vinci,Cobalt Violet Deep,#A242AB,,PB28|PV14|PB28|PV14,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cobalt-violet-deep-37-ml-tube/
Da Vinci,Davy's Gray,#91A0A0,,PG7|PW6|PBk6,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-davys-gray-15-ml-tube/
Da Vinci,Da Vinci Orange,#FE6209,,PO73,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-da-vinci-orange-15-ml-tube/
Da Vinci,Da Vinci Red,#D60300,,PR254,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-da-vinci-red-15-ml-tube/
Da Vinci,Da Vinci Violet,#33125F,,PV23,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-da-vinci-violet-15-ml-tube/
Da Vinci,Da Vinci Yellow,#FCD809,,PY154,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-da-vinci-yellow-15-ml-tube/
Da Vinci,Emerald (Permanent),#00993B,,PG36|PW6,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-emerald-permanent-15-ml-tube/
Da Vinci,French Ultramarine,#1846AB,,PB29|PB29,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-french-ultramarine-15-ml-tube/
Da Vinci,Gamboge Hue,#FFD300,,PY42|PY3,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-gamboge-hue-15-ml-tube/
Da Vinci,Hansa Yellow Light Lemon,#FBD900,,PY3|PY3,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-hansa-yellow-light-lemon-15-ml-tube/
Da Vinci,Gold Ochre,#DD7602,,PY83|PY43,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-gold-ochre-15-ml-tube/
Da Vinci,Green Gold,#6E5702,,PY129,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-green-gold-15-ml-tube/
Da Vinci,Hansa Yellow Deep,#FFB102,,PY65,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-hansa-yellow-deep-15-ml-tube/
Da Vinci,Hooker's Green Dark,#008B21,,PG7|PY42,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-hookers-green-dark-15-ml-tube/
Da Vinci,Hansa Yellow Medium,#FEE305,,PY74|PY74,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-hansa-yellow-medium-15-ml-tube/
Da Vinci,Hooker's Green Light,#278B00,,PY42|PG7,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-hookers-green-light-15-ml-tube/
